ligand_id,isoform,complex_file,exact_signature_matches,status
004bf3990320b4e77e86502cdcbd9fac2126e7a272e231cd0e50796fa6086f0b,JAK1,,0,no_prefix_candidates
004bf3990320b4e77e86502cdcbd9fac2126e7a272e231cd0e50796fa6086f0b,JAK2,,0,no_prefix_candidates
0075a6ce5acef94ce1196fea288dd5e5b67165236e57d91149a28def1a7d905b,JAK1,results/saved_complexes/0075a6ce_JAK1_207116_complex.pdb,2,duplicate_exact_matches_first_selected
0075a6ce5acef94ce1196fea288dd5e5b67165236e57d91149a28def1a7d905b,JAK2,results/saved_complexes/0075a6ce_JAK2_5e6762_complex.pdb,2,duplicate_exact_matches_first_selected
007b1a825a107f91fedb35daed62360138db17cb8f4c7fc3dfb2a586d7f1e60a,JAK1,,0,no_prefix_candidates
007b1a825a107f91fedb35daed62360138db17cb8f4c7fc3dfb2a586d7f1e60a,JAK2,,0,no_prefix_candidates
007b23364dd06e1767c958733b2be6b43a97d166d0a07d27fc26699dd428ca6f,JAK1,results/saved_complexes/007b2336_JAK1_9a786a_complex.pdb,3,duplicate_exact_matches_first_selected
007b23364dd06e1767c958733b2be6b43a97d166d0a07d27fc26699dd428ca6f,JAK2,results/saved_complexes/007b2336_JAK2_9837bf_complex.pdb,3,duplicate_exact_matches_first_selected
0084e43269d6d866ec72a0e0281aae20c5bb6991f697071ad86da7e50f306271,JAK1,results/saved_complexes/0084e432_JAK1_305aeb_complex.pdb,2,duplicate_exact_matches_first_selected
0084e43269d6d866ec72a0e0281aae20c5bb6991f697071ad86da7e50f306271,JAK2,results/saved_complexes/0084e432_JAK2_6691d1_complex.pdb,2,duplicate_exact_matches_first_selected
0086328afcb8c4e93bfeb7b45d32329bff3302e3f3ff966b2644fc3234b43705,JAK1,results/saved_complexes/0086328a_JAK1_0e3235_complex.pdb,3,duplicate_exact_matches_first_selected
0086328afcb8c4e93bfeb7b45d32329bff3302e3f3ff966b2644fc3234b43705,JAK2,results/saved_complexes/0086328a_JAK2_3a23e5_complex.pdb,3,duplicate_exact_matches_first_selected
008a8830075074cc7259966b984ed61fe7d91eb0baf76275c9d6451585b2feef,JAK1,results/saved_complexes/008a8830_JAK1_a4be61_complex.pdb,2,duplicate_exact_matches_first_selected
008a8830075074cc7259966b984ed61fe7d91eb0baf76275c9d6451585b2feef,JAK2,results/saved_complexes/008a8830_JAK2_2ce261_complex.pdb,2,duplicate_exact_matches_first_selected
008ba23d70d116976b09ff9ab59e1410ce288b7322a1e88bd59868d2b0a07b44,JAK1,results/saved_complexes/008ba23d_JAK1_407610_complex.pdb,2,duplicate_exact_matches_first_selected
