Unnamed: 0,identifier,smiles,predicted_delta_pIC50,QSAR_rank
326801,CNP0039118.1,CC(=O)NC1=CC=C(C(=O)/C=C/C2=CC=CC=C2)C(O)=C1,0.3090457621087378,2441
61193,CNP0042155.1,COC1=CC=C(C2=NN(C)C([C@H]3C[N@]4CC[C@H]3C[C@@H]4CNS(=O)(=O)C3=CC=CC=C3)=C2)C=C1OC,0.3089922759296035,2442
132117,CNP0042155.2,COC1=CC=C(C2=NN(C)C([C@H]3CN4CC[C@H]3C[C@@H]4CNS(=O)(=O)C3=CC=CC=C3)=C2)C=C1OC,0.3089922759296035,2443
397076,CNP0239591.1,C[C@@H]1CO[C@](O)(OC2=C(C3=CC=C(O)C(O)=C3)CC3=CC(O)=CC(O)=C3C2=O)[C@H](O)[C@H]1O,0.30893575979630045,2444
56182,CNP0024977.1,O=C1NC2=CC=C(C3=CC=C4OCOC4=C3)C=C2C(=O)N2CCN(C(=O)C3=CC=CN=C3)C[C@H]12,0.3087523583189483,2445
223410,CNP0246297.0,COC1=CC=C(C(=O)C2=C(C)C3=CC=C(NC(=O)C4=CC=C(Br)C=C4)C=C3O2)C=C1,0.308726061125366,2446
471729,CNP0315274.0,COC1=CC=C2C(=C1)C=CN2CCNC(=O)CN1CCNC(=O)C1(C)C,0.30871907260713827,2447
118184,CNP0483009.0,CS(=O)(=O)C1=CC=C(C2=CC=CC(C3COC4(C=CC(=O)C=C4)O3)=C2)C=C1,0.3087172199360534,2448
19832,CNP0603673.1,COC1=CC([C@H]2OC3=CC(OCCO)=C4C5=CC=C(O)C=C5C[C@@H](CC5([N+]6=CNC=C6)CCCC5)C4=C3C[C@H]2O)=CC=C1O,0.30862496365039827,2449
380050,CNP0196684.0,CCOC(=O)C1=C(C2=CSC(C3=CC=CC=C3)=N2)C(=O)C2=CC(CC)=C(OC)C=C2O1,0.30857258838401824,2450
223045,CNP0397348.1,COC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)NC1=CC=C2OCCOC2=C1,0.30852622042708405,2451
143674,CNP0089894.0,CC1=CC2=CC(C3=CC=C(Br)C=C3)=CN2C=C1,0.3085235866228999,2452
113619,CNP0255239.2,O=C1O[C@H](N2C(=O)CC[C@H]2C(=O)NC2=CC=C3OCCOC3=C2)C2=CC=CC=C12,0.30848391876863185,2453
85440,CNP0012486.2,C=CCN(C)C(=O)[C@H]1C[N@]2CC[C@H]1C[C@@H]2CN1C=C(C2=CC=CC(N)=C2)N=N1,0.30848345299967933,2454
209166,CNP0012486.1,C=CCN(C)C(=O)[C@H]1C[N@@]2CC[C@@H]1C[C@@H]2CN1C=C(C2=CC=CC(N)=C2)N=N1,0.30848345299967933,2455
39473,CNP0124731.1,C1=NC=C(C2=CC=C(C3=NOC([C@@H]4CCCN4CC4CCCCC4)=N3)C=N2)C=N1,0.3084529290279346,2456
208049,CNP0199998.0,COC1=NOC(CCC(=O)NC2=CC=C3OC(C4=CC=CC=C4Cl)=CC(=O)C3=C2)=C1,0.30839022258752197,2457
403214,CNP0537377.1,CC(=O)N1CCC(N2CC[C@H]3CC(=O)NC4=CC(C5=CC=CN=C5)=CC=C4OCC[C@H]3C2)CC1,0.3082748226619867,2458
360933,CNP0600144.1,CC1=C(C2=CC=NC(NC3=CC=C(OC[C@@H](O)CN(C)C)C=C3)=N2)N2C=CC=CC2=N1,0.30818676811330453,2459
502941,CNP0360746.0,CC1=C(C(=O)C2=CC=C(Cl)C=C2)OC2=CC=C(NC(=O)C3=CC=CC=C3Br)C=C12,0.3081296698795399,2460
484527,CNP0078782.1,COC1=CC=C(C2=CC3=C(C[C@]4(O)[C@@]5(C)[C@H](O)C[C@@H](O)C(C)(C)[C@]5(O)CC[C@@]4(C)O3)C(=O)O2)C=C1,0.3079984653957382,2461
341346,CNP0206477.1,O=C1OC(N2C(=O)CC[C@H]2C(=O)NC2=CC=C3OCOC3=C2)C2=CC=CC=C12,0.30796478463123156,2462
141689,CNP0250130.3,COC1=CC=C(C2=CC3=C(C[C@]4(O)[C@@]5(C)CCC(OC(C)=O)C(C)(C)[C@]5(O)CC[C@@]4(C)O3)C(=O)O2)C=C1,0.30783400479370965,2463
11537,CNP0250130.2,COC1=CC=C(C2=CC3=C(C[C@]4(O)[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@]5(O)CC[C@@]4(C)O3)C(=O)O2)C=C1,0.30783400479370965,2464
409954,CNP0408800.1,CC(=O)C1=C(O)C(C)=C(O)C2=C1OC1=CC(=O)/C(=C(/C)NCCC(=O)NC3=CC=C4C=CC=CC4=C3)C(=O)[C@@]12C,0.3078077254969964,2465
322266,CNP0539741.0,COC1=CC=CC(C2=NNC(C(=O)N(CCC3=CC=CC=C3)CC3=CC=CC=C3)=C2)=C1,0.30778192450487907,2466
404327,CNP0205052.1,C[C@@H](NC(=O)[C@@H]1CC2=CC=CC=C2CN1C(=O)OC(C)(C)C)C(=O)NC1=CC=C2OCCOC2=C1,0.3077729588818482,2467
414842,CNP0028631.0,COC1=CC=C(C(=O)C2=C(C)C3=CC=C(NC(C)=O)C=C3O2)C=C1,0.3077697583734565,2468
67102,CNP0003835.1,CN1CCC(N2CCOC[C@H]2C2=NC(C3=CC=C(Cl)C=C3)=CN2)CC1,0.30775522027546537,2469
93257,CNP0326438.0,O=C(COC1=CC(O)=C2C(=O)C=C(C3=CC=CC=C3)OC2=C1)N1CCN(CCO)CC1,0.3077186616853595,2470
81953,CNP0012486.4,C=CCN(C)C(=O)[C@H]1CN2CC[C@H]1C[C@@H]2CN1C=C(C2=CC=CC(N)=C2)N=N1,0.30768192461635563,2471
423141,CNP0012486.3,C=CCN(C)C(=O)[C@H]1CN2CC[C@@H]1C[C@@H]2CN1C=C(C2=CC=CC(N)=C2)N=N1,0.30768192461635563,2472
28745,CNP0328979.0,COC1=CC=C(NC(=O)CCC2=C(C)C3=CC4=C(C=C3OC2=O)OC(C)=C4C)C=C1OC,0.30762119442663427,2473
468888,CNP0009767.1,COC1=CC=C(/C=C/C(=O)NC2=CC=C(OC)C(OC)=C2)C=C1OC,0.3076157893954719,2474
6553,CNP0392469.0,CC1=CC(O)=C2C(C)=C(CC(=O)NC3=CC=C4NC=CC4=C3)C(=O)OC2=C1,0.307560474436016,2475
390339,CNP0015659.2,COC1=CC=C(C2=NN(C)C([C@H]3CN4CC[C@H]3C[C@@H]4CN)=C2)C=C1,0.30754963581336553,2476
92411,CNP0010969.1,COC1=CC=C(C2=NN(C)C([C@H]3C[N@]4CC[C@H]3C[C@@H]4CNS(=O)(=O)C3=CC=CC=C3)=C2)C=C1,0.3075353057498306,2477
315244,CNP0010969.2,COC1=CC=C(C2=NN(C)C([C@H]3CN4CC[C@H]3C[C@@H]4CNS(=O)(=O)C3=CC=CC=C3)=C2)C=C1,0.3075353057498306,2478
352089,CNP0154937.1,CC(=O)N1CCC(N2CCC[C@H]2C2=NC(C3=CC=C(C4=CC=NC=C4)N=C3)=NO2)CC1,0.30737263897469047,2479
58104,CNP0320436.1,CN1CCC[C@H]1C1=C(O)C=C(O)C2=C1OC(C1=CC=CC=C1)=CC2=O,0.307322090414532,2480
157097,CNP0448293.1,N#CC1=CC=CC(C2=C3[C@@H]4C[C@@H](CN(CCCC5=CC=CC=C5)C4)CN3C(=O)C=C2)=C1,0.30725891009609724,2481
333672,CNP0524765.1,O=C1CN2CCN(C(=O)C3=CC=CC=C3)C[C@H]2COC2=CC=C(C3=CC=CC=C3)C=C2N1,0.3072470373782229,2482
394671,CNP0191732.0,COCCN1C=C(C(=O)NC2=CC=C3C=CNC3=C2)C2=CC=CC=C2C1=O,0.3072058297523445,2483
436747,CNP0263089.0,CCCCN1C=C2C=C(OC)C(=O)C3=C2C(=CC=C3C2=CC=CC=C2)C1=O,0.30719822946653985,2484
172040,CNP0601814.1,COC1=CC=CC(C2=CC=C3OC[C@H]4CN(C(=O)C5=CC=CN=C5)CCN4CC(=O)NC3=C2)=C1,0.30718622627777953,2485
4831,CNP0015826.1,COC1=CC=C(C2=NN(C)C([C@H]3C[N@]4CC[C@H]3C[C@@H]4CN)=C2)C=C1OC,0.307122484678259,2486
136757,CNP0027118.0,CC1=CC=C(C2=CC(=O)C3=CC(N4C=CC=C4)=CC=C3O2)C=C1,0.30708502212158445,2487
101151,CNP0391329.3,CN(C)C(=O)[C@H]1CN2CC[C@@H]1C[C@@H]2CN1C=C(C2=CC=CC(N)=C2)N=N1,0.30704585797059214,2488
