,base_rate,observed_purity,enrichment_over_baseline,p_value
JAK1-selective,0.4912614639210936,0.8242338851708348,1.6777906383945949,0.0
Non-selective,0.4625367710676588,0.7462401795735129,1.613364009635365,0.0
JAK2-selective,0.04620176501124762,0.5970037453183521,12.92166533406276,0.0
