fold,r2,rmse,mae,spearman
1,0.8198622796656015,0.3155571934028061,0.22528417204625661,0.8938048705054271
2,0.837486999726512,0.2992627420216131,0.21189810894857575,0.9048920154434834
3,0.8489621582784307,0.29997382941548056,0.21701336233982899,0.9112495933325798
4,0.8293319885677493,0.301226348779358,0.21541661611512775,0.9049111397026115
5,0.8103248933746542,0.3243860643740156,0.2279350788121106,0.8904396821283338
mean,0.8291936639225895,0.3080812355986547,0.21950946765237994,0.9010594602224872
std,0.015022459483247073,0.011316169004746603,0.006805381896097837,0.008642503773110778
