fold,r2,rmse,mae,spearman
1,-5.951606973031431e-06,0.7434932772270884,0.5798877783224652,0.0
2,-3.416444729986701e-05,0.7423624824359498,0.5814959599450998,0.0
3,-0.0019200148707136933,0.7726040989662579,0.6029631371383383,0.0
4,-0.00011724551484348922,0.7291927660374018,0.5687714626333871,0.0
5,-0.0007056864202856783,0.7450925208563131,0.5805571656297882,0.0
mean,-0.0005566125720231519,0.7465490291046022,0.5827351007338157,0.0
std,0.0008139889115801847,0.015883110069950825,0.012435259968213631,0.0
