fold,r2,rmse,mae,spearman
1,0.7849684859179278,0.3264340119558969,0.23352562340756713,0.8854346856136707
2,0.7696622747764991,0.3512409539917851,0.2556675036490215,0.8711148077750445
3,0.7946835036921425,0.34964781405049855,0.25296836957233876,0.8792312216126358
4,0.8208128021327897,0.3336773935035371,0.24796578431967914,0.8842240194125924
5,0.7506281801790088,0.3602797825540644,0.257327184403085,0.870198981079874
mean,0.7841510493396735,0.3442559912111564,0.24949089307033834,0.8780407430987636
std,0.026407348694139157,0.01382165892370759,0.009602950263079132,0.007137617646108149
