fold,r2,rmse,mae,spearman
1,0.8105937123529996,0.3235735022203407,0.24036565978123872,0.8844653399660717
2,0.8234303813336736,0.31193678109389555,0.22965330132025383,0.8944769160243613
3,0.8411793728719354,0.30760538568649604,0.23206376133561846,0.9053697766092322
4,0.814101493404419,0.31437995249518547,0.22944121699959188,0.8969075794129368
5,0.803011022411722,0.33058107171202844,0.23944784618148074,0.8818287671425569
mean,0.8184631964749499,0.31761533864158925,0.23419435712363673,0.8926096758310319
std,0.014666462702549473,0.009307562043669528,0.00532534250149171,0.009583017946337128
