fold,r2,rmse,mae,spearman
1,0.6686657046195248,0.405207561953608,0.29106854307303787,0.8431260004387438
2,0.6530182451710532,0.4310979233895991,0.3150235866868759,0.834632007938989
3,0.6810301379650527,0.4358065171186178,0.31056374332989767,0.8466806920287765
4,0.7023879509998954,0.43002979819745285,0.32272254126525685,0.8546078459316184
5,0.6056965386380142,0.4530347328751866,0.3205134588498007,0.8195675238314515
mean,0.662159715478708,0.43103530670689283,0.3119783746409738,0.8397228140339157
std,0.036360653497258845,0.017137871569855904,0.01261725339814849,0.013357675212538816
