fold,r2,rmse,mae,spearman
1,0.7419549225998487,0.37767961340941114,0.2750394671340831,0.8599477700799455
2,0.7531486624066723,0.36883008544055357,0.26953021367774666,0.8663467316823296
3,0.7817906219404247,0.36055970311408486,0.26027674863863276,0.8887407708272163
4,0.7666175905304762,0.35224996055990193,0.2618825371552936,0.8774145526092128
5,0.7191128495004976,0.39475074325691994,0.2800096531020543,0.8586355938758612
mean,0.7525249293955839,0.37081402115617423,0.26934772394156203,0.8702170838149129
std,0.023893330802959925,0.01638455375628323,0.008427893912434583,0.012742643730800475
