fold,r2,rmse,mae,spearman
1,0.7926428023063945,0.32055599520648637,0.23570354452237977,0.890991491032132
2,0.764979118791169,0.3547936484605823,0.2654873517726744,0.8690014797548923
3,0.7858562562306305,0.3570849863680257,0.264487020312749,0.8717217880714081
4,0.8073959668618346,0.34594414436382953,0.2636603542837536,0.8774894695388539
5,0.6185934372244203,0.44556419628227606,0.29855651203417677,0.8338862394875286
mean,0.7538935162828898,0.36478859413624,0.26557895658514674,0.8686180935769631
std,0.07715996064418769,0.047422511819456295,0.022276339243519846,0.02118579605602665
