smiles,dataset,PC1,PC2
CN1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2C#N)CC1,JAK2-selective,-2.015669457727917,0.7668896994998876
CN1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,JAK2-selective,-2.480954871582266,1.7841650544113954
CN1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C6CC6)c5)c4n3)cc2)CC1,JAK2-selective,-2.8961797052086795,1.0727585956826775
CN1CCN(c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CO)C3)c2F)CC1,JAK2-selective,-3.203621914623011,-0.03954871552032593
CN1CCN(c2nc(-c3cnn4ccccc34)nc(O[C@@H]3CCCN(C(=O)CC#N)C3)c2F)CC1,JAK2-selective,-3.4049791047976656,-0.12007419754026406
CN1CCN(c2nc(-c3cnn4ccccc34)nc(O[C@@H]3CCCN(C(=O)CO)C3)c2F)CC1,JAK2-selective,-3.893163862602834,0.4224377696434351
CNC(=O)c1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](OC)C4)c3)n2)[nH]n1,JAK2-selective,-3.8656103774561266,0.3954017504985089
CNC1CCN(c2ccc(Nc3ncc4ccn(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,JAK2-selective,-1.6902707011316536,1.4878106004745821
CNC1CCN(c2ccc(Nc3ncc4scc(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,JAK2-selective,-1.1625894439269941,0.34258879738147135
COC1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C5COC5)c4)cc4ncccc34)n2)C1,JAK2-selective,-3.739235018242892,-1.7695230175192387
COCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1C,JAK2-selective,-3.68665907547177,-0.152546219042294
COCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-3.743261076987869,0.27024526464181076
COC[C@@H](C)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-2.8792957967932113,0.2828624432915751
COC[C@@H](C)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(c3cnc(C#N)cn3)C2)c1F,JAK2-selective,-2.9792362033892132,-0.0008990051225884661
COC[C@H](C)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-2.8792957967932113,0.2828624432915751
CO[C@H]1C[C@](CC#N)(n2cc(-c3nc(-c4cn(C)nc4CO)cn4nccc34)cn2)C1,JAK2-selective,-2.7806603109028085,-2.1954696473114446
COc1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)n2)ccn1,JAK2-selective,-4.8102679752433675,-1.6843036182034619
