,smiles,JAK1_IC50_nM,JAK2_IC50_nM,JAK1_pIC50,JAK2_pIC50,delta_pIC50,scaffold
4927,N#C[C@@H]1CN(Cc2ccon2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,3.0,34.0,8.522878745280337,7.468521082957745,-1.0543576623225928,c1ccc(Nc2ccn(C3CCN(Cc4ccon4)CC3)n2)cc1
4928,N#C[C@@H]1CN(Cc2cncc(F)c2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,6.0,58.0,8.221848749616356,7.236572006437063,-0.985276743179293,c1ccc(Nc2ccn(C3CCN(Cc4cccnc4)CC3)n2)cc1
4929,N#C[C@@H]1CN(Cc2cnccn2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,7.0,75.0,8.154901959985743,7.1249387366083,-1.0299632233774432,c1ccc(Nc2ccn(C3CCN(Cc4cnccn4)CC3)n2)cc1
4930,N#C[C@@H]1CN(Cc2cocn2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,6.0,52.0,8.221848749616356,7.2839966563652006,-0.9378520932511556,c1ccc(Nc2ccn(C3CCN(Cc4cocn4)CC3)n2)cc1
4931,N#C[C@@H]1CN(Cc2cscn2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,5.0,37.0,8.301029995663981,7.431798275933005,-0.8692317197309762,c1ccc(Nc2ccn(C3CCN(Cc4cscn4)CC3)n2)cc1
4932,N#C[C@@H]1CN(Cc2ncco2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,5.0,47.0,8.301029995663981,7.327902142064283,-0.9731278535996983,c1ccc(Nc2ccn(C3CCN(Cc4ncco4)CC3)n2)cc1
4933,N#C[C@@H]1CNCCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,102.0,628.0,6.991399828238082,6.2020403562628035,-0.7893594719752786,c1ccc(Nc2ccn(C3CCNCC3)n2)cc1
4934,N#C[C@@H]1CNCC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,7.0,81.0,8.154901959985743,7.0915149811213505,-1.0633869788643926,c1ccc(Nc2ccn(C3CCNCC3)n2)cc1
4935,N#C[C@@H]1COCC[C@H]1n1cc(C(N)=O)c(Nc2ccnc(F)c2)n1,41.0,323.0,7.3872161432802645,6.490797477668897,-0.8964186656113675,c1cc(Nc2ccn(C3CCOCC3)n2)ccn1
4936,N#C[C@@H]1CS(=O)(=O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,30.0,371.0,7.522878745280337,6.430626090384954,-1.0922526548953835,O=S1(=O)CCC(n2ccc(Nc3ccccc3)n2)CC1
4937,N#C[C@@H]1CS(=O)(=O)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,3.0,146.0,8.522878745280337,6.835647144215563,-1.6872316010647745,O=S1(=O)CCC(n2ccc(Nc3ccccc3)n2)CC1
4938,N#C[C@@H]1CS(=O)(=O)C[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,11.9666,189.484,7.922029225615948,6.722427455907393,-1.199601769708555,O=S1(=O)CC[C@H](n2ccc(Nc3ccccc3)n2)C1
4939,N#C[C@@H]1CS(=O)(=O)C[C@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,0.5,15.0,9.301029995663981,7.823908740944319,-1.4771212547196626,O=S1(=O)CC[C@H](n2ccc(Nc3ccccc3)n2)C1
4940,N#C[C@@H]1C[C@@H](N(CC2CC2)C2CCC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,10.0,610.0,8.0,6.214670164989233,-1.7853298350107671,c1ccc(Nc2ccn([C@H]3CC[C@@H](N(CC4CC4)C4CCC4)CC3)n2)cc1
4941,N#C[C@@H]1C[C@@H](N2CCC2)CC[C@H]1n1nc(Nc2ccc(C(F)(F)F)cc2)c2c(=O)[nH]ccc21,25000.0,660000.0,4.6020599913279625,3.1804560644581312,-1.4216039268698313,O=c1[nH]ccc2c1c(Nc1ccccc1)nn2[C@H]1CC[C@@H](N2CCC2)CC1
4942,N#C[C@@H]1C[C@@H](NC2CC3(CCCC3)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,21.0,665.0,7.6777807052660805,6.1771783546968955,-1.500602350569185,c1ccc(Nc2ccn([C@H]3CC[C@@H](NC4CC5(CCCC5)C4)CC3)n2)cc1
4943,N#C[C@@H]1C[C@@H](NC2CCC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,2.0,136.0,8.698970004336019,6.866461091629782,-1.8325089127062366,c1ccc(Nc2ccn([C@H]3CC[C@@H](NC4CCC4)CC3)n2)cc1
4944,N#C[C@@H]1C[C@@H](NC2COC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,0.85,17.0,9.070581074285707,7.769551078621726,-1.3010299956639813,c1ccc(Nc2ccn([C@H]3CC[C@@H](NC4COC4)CC3)n2)cc1
4945,N#C[C@@H]1C[C@@H](NCC2CCC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,2.0,242.0,8.698970004336019,6.616184634019569,-2.08278537031645,c1ccc(Nc2ccn([C@H]3CC[C@@H](NCC4CCC4)CC3)n2)cc1
4946,N#C[C@@H]1C[C@@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,0.34,5.0,9.468521082957745,8.301029995663981,-1.1674910872937634,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1
