smiles,fold_selectivity,dataset,TSNE1,TSNE2
CCOCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,16.0,JAK2-selective,1.4682409,29.939785
CCS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C)c4)cc4ncccc34)n2)C1,7.741379310344827,JAK2-selective,-2.337791,68.52025
CCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)cc12,15.0,JAK2-selective,-3.2158065,-11.815783
CCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ncccn4)cc3)cc12,7.3,JAK2-selective,-3.0586393,-12.102131
CCc1cncc2ccc(NC(=O)[C@@H]3C[C@H]3c3ccc(S(=O)(=O)Nc4ncc(C5CCNCC5)cn4)cc3)cc12,5.9405940594059405,JAK2-selective,-2.1840594,-13.118425
CCn1cc(-c2cc(-c3cnn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)c3cccnc3c2)ccc1=O,5.900293255131965,JAK2-selective,-9.589162,50.997864
CN(C)C1CCN(C(=O)c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,55.0,JAK2-selective,-10.326913,5.4955597
CN(C)C1CCN(c2ccc(Nc3ncc4ccn(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,77.77777777777777,JAK2-selective,-9.466118,4.826085
CN(C)C1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2)CC1,58.06863712908658,JAK2-selective,-10.91469,3.8778105
CN(C)C1CCN(c2ccc(Nc3ncc4scc(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,115.875,JAK2-selective,-9.055584,4.690928
CN(C)C1CCN(c2ccc(Nc3ncc4scc(-c5ccc(F)c(NS(=O)(=O)C6(C)CC6)c5)c4n3)cc2F)CC1,66.72727272727273,JAK2-selective,-8.8307085,4.702322
CN(C)C1CCN(c2nc(-c3cnn4ccccc34)nc(N[C@H]3CC[C@H](CC#N)CC3)c2F)CC1,220.0,JAK2-selective,0.06973502,22.212038
CN(C)CCCn1c(=O)c2cc([N+](=O)[O-])ccc2c2cnc3[nH]ccc3c21,6.8040816326530615,JAK2-selective,-29.018866,-18.285566
CN(C)CCOc1nc(-c2cnn3ccccc23)nc(N[C@H]2CC[C@@H](CC#N)CC2)c1F,64.0,JAK2-selective,0.20113523,22.33325
CN(C)CCOc1nc(-c2cnn3ccccc23)nc(N[C@H]2CC[C@H](CC#N)CC2)c1F,121.42857142857143,JAK2-selective,0.20113523,22.33325
CN(C)CCn1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CC(C#N)C4)n3)n2)cn1,9.853658536585366,JAK2-selective,13.148548,79.78856
CN1C(=O)COc2ccc(-c3cc(-c4cnn(C5(CC#N)CC(C#N)C5)n4)c4cccnc4c3)nc21,20.477062100008144,JAK2-selective,4.497858,44.930588
CN1CCC(n2cc(-c3cc4ncccc4c(-c4ccn(C5(CC#N)CN(CC(F)(F)F)C5)n4)n3)cn2)CC1,16.5625,JAK2-selective,-2.8737884,83.14264
CN1CCN(c2ccc(Nc3ncc4ccn(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2)CC1,11.982662123446076,JAK2-selective,-10.109751,4.31579
CN1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2)CC1,32.83783783783784,JAK2-selective,-10.825037,3.7274013
CN1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2C#N)CC1,58.2010582010582,JAK2-selective,-10.52298,3.9510443
CN1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,23.555555555555557,JAK2-selective,-10.36282,4.46233
CN1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C6CC6)c5)c4n3)cc2)CC1,74.41928557485848,JAK2-selective,-11.095461,3.4463866
CN1CCN(c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CO)C3)c2F)CC1,36.66666666666667,JAK2-selective,0.75016546,28.273819
CN1CCN(c2nc(-c3cnn4ccccc34)nc(O[C@@H]3CCCN(C(=O)CC#N)C3)c2F)CC1,48.0,JAK2-selective,-2.5838523,27.02998
CN1CCN(c2nc(-c3cnn4ccccc34)nc(O[C@@H]3CCCN(C(=O)CO)C3)c2F)CC1,27.8,JAK2-selective,1.4941628,27.110367
CNC(=O)c1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](OC)C4)c3)n2)[nH]n1,11.44,JAK2-selective,-14.640523,79.617805
CNC(=O)c1cnc(-c2cnc3[nH]ccc3c2N[C@@H]2CCCN(C(=O)CC#N)C2)o1,5.5,JAK2-selective,-40.682163,-26.450983
CNC1CCN(c2ccc(Nc3ncc4ccn(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,85.57156593010062,JAK2-selective,-9.735992,4.7488523
CNC1CCN(c2ccc(Nc3ncc4scc(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,82.80773424237823,JAK2-selective,-9.307854,4.5267715
CNS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C)c4)cc4ncccc34)n2)C1,6.267195767195767,JAK2-selective,-2.327796,68.57106
COC1CC(CC#N)(n2cc(-c3nc(-c4cnn(CCO)c4)cc4ncccc34)cn2)C1,5.049228331266363,JAK2-selective,-14.416851,85.47338
COC1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C)c4)cc4ncccc34)n2)C1,7.370967741935484,JAK2-selective,7.1562114,81.87451
COC1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C5COC5)c4)cc4ncccc34)n2)C1,17.020460358056265,JAK2-selective,7.062072,81.76674
COC1CC(CC#N)(n2ccc(-c3nc(-c4cnn(CCO)c4)cc4ncccc34)n2)C1,5.2331488881823205,JAK2-selective,7.14895,81.83021
COCCOc1cc(N[C@@H]2CCCN(C(=O)CO)C2)nc(-c2cnn3ccccc23)n1,6.0,JAK2-selective,-1.4282568,32.28593
COCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1C,27.142857142857146,JAK2-selective,-0.55346215,32.19345
COCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,13.75,JAK2-selective,1.6760763,29.896063
COC[C@@H](C)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,15.714285714285714,JAK2-selective,2.6294627,29.117947
COC[C@@H](C)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(c3cnc(C#N)cn3)C2)c1F,57.0,JAK2-selective,-0.13923633,24.628778
COC[C@H](C)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,33.0,JAK2-selective,2.629339,29.117592
CO[C@H]1C[C@@](CC#N)(n2cc(-c3nc(-c4cc(C(N)=O)n[nH]4)cn4nccc34)cn2)C1,6.648967551622419,JAK2-selective,-14.575526,79.690895
CO[C@H]1C[C@@](CC#N)(n2cc(-c3nc(-c4cnn(C)c4)cn4nccc34)cn2)C1,6.707070707070707,JAK2-selective,-13.236935,80.00184
CO[C@H]1C[C@](CC#N)(n2cc(-c3nc(-c4cc(CO)[nH]n4)cn4nccc34)cn2)C1,5.469879518072289,JAK2-selective,-14.231419,79.829834
CO[C@H]1C[C@](CC#N)(n2cc(-c3nc(-c4cc(N)n(C)n4)cn4nccc34)cn2)C1,8.217592592592593,JAK2-selective,-13.8128395,80.022224
CO[C@H]1C[C@](CC#N)(n2cc(-c3nc(-c4cn(C)nc4CO)cn4nccc34)cn2)C1,30.42283950617284,JAK2-selective,-13.412814,79.96581
CO[C@H]1C[C@](CC#N)(n2cc(-c3nc(-c4cnn(C)c4)cn4nccc34)cn2)C1,6.557017543859649,JAK2-selective,-13.236935,80.00184
COc1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)n2)ccn1,11.500689655172414,JAK2-selective,-1.8816831,62.01877
COc1cc(N[C@@H]2CCCN(C(=O)CO)C2)nc(-c2cnn3ccccc23)n1,7.0,JAK2-selective,-1.4115901,32.30032
COc1cc(Nc2ncc3ccn(-c4cccc(NS(=O)(=O)C(C)(C)C)c4)c3n2)ccc1N1CCN(C)CC1,56.34615384615385,JAK2-selective,-10.878103,4.0866838
COc1cc(Nc2ncc3ccn(-c4cccc(NS(=O)(=O)C(C)(C)C)c4)c3n2)ccc1N1CCNCC1,98.21428571428572,JAK2-selective,-10.930415,4.1511803
COc1cc2c(=O)n(C3CCCCCC3)c3c4cc[nH]c4ncc3c2cc1OC,7.404494382022472,JAK2-selective,-30.339964,-19.061768
COc1cc2c(=O)n(C3CCCCCCC3)c3c4cc[nH]c4ncc3c2cc1OC,9.889502762430938,JAK2-selective,-30.339962,-19.061768
COc1cc2c(=O)n(CC(=O)OC(C)(C)C)c3c4cc[nH]c4ncc3c2cc1OC,7.304964539007092,JAK2-selective,-28.831861,-19.511795
COc1cc2c(=O)n(CC3CCCCC3)c3c4cc[nH]c4ncc3c2cc1OC,35.0140056022409,JAK2-selective,-30.225946,-18.983435
COc1ccc(-c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CC#N)C3)c2F)cn1,6.666666666666667,JAK2-selective,-4.3103313,28.60448
COc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1C,7.666666666666667,JAK2-selective,-0.52923906,32.2169
COc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,13.0,JAK2-selective,1.7299943,29.903933
COc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(c3cnc(C#N)cn3)C2)c1F,6.142857142857143,JAK2-selective,-0.19558764,24.680115
COc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(c3cnc(CO)cn3)C2)c1F,14.166666666666666,JAK2-selective,0.0071643237,24.900454
COc1nc(-c2cnn3ccccc23)nc(O[C@@H]2CCCN(C(=O)CC#N)C2)c1F,9.333333333333334,JAK2-selective,-2.7195933,27.30516
COc1nc(-c2cnn3ccccc23)nc(O[C@@H]2CCCN(C(=O)CO)C2)c1F,42.333333333333336,JAK2-selective,1.6449921,27.310421
COc1nccc2cc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)ccc12,7.142857142857143,JAK2-selective,-3.56411,-11.057198
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4ccc(F)cc4O)cc4ncccc34)n2)C1,17.6678445229682,JAK2-selective,-7.087921,63.63529
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cccc(O)n4)cc4ncccc34)n2)C1,10.13550135501355,JAK2-selective,-4.8717327,64.094025
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4ccccc4O)cc4ncccc34)n2)C1,5.61864406779661,JAK2-selective,-5.5737224,63.61239
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cccnc4N)cc4ncccc34)n2)C1,5.429645542427497,JAK2-selective,-4.390955,63.4476
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4ccn(C5COC5)n4)cc4ncccc34)n2)C1,6.743088334457181,JAK2-selective,-0.42055482,66.034386
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4ccn5ccnc5c4)cc4ncccc34)n2)C1,13.826530612244898,JAK2-selective,-3.3257535,63.995846
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4ccnc(O)c4)cc4ncccc34)n2)C1,7.933006535947713,JAK2-selective,-4.72826,64.34226
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnc5[nH]c(=O)[nH]c5c4)cc4ncccc34)n2)C1,41.49377593360996,JAK2-selective,-2.223767,63.54041
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnc5cn[nH]c5c4)cc4ncccc34)n2)C1,10.134615384615385,JAK2-selective,-2.1400006,63.548084
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C5COC5)c4)cc4ncccc34)n2)C1,17.366336633663366,JAK2-selective,-0.48995954,66.59684
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(CC5(O)COC5)c4)cc4ncccc34)n2)C1,7.310043668122271,JAK2-selective,-1.563778,66.935234
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(CC5COC5)c4)cc4ncccc34)n2)C1,8.842857142857143,JAK2-selective,-0.65036327,66.65004
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(CCO)c4)cc4ncccc34)n2)C1,5.95679012345679,JAK2-selective,-2.2956867,67.19413
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn([C@@H]5CCOC5)c4)cc4ncccc34)n2)C1,10.514705882352942,JAK2-selective,-0.21801826,66.68055
CS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn([C@H]5CCOC5)c4)cc4ncccc34)n2)C1,13.777777777777779,JAK2-selective,-0.21801887,66.68112
CS(=O)(=O)N1CC(CC#N)(n2ncc(-c3cc(-c4cccc(CN)c4)cc4ncccc34)n2)C1,5.656025024456251,JAK2-selective,-8.783273,50.1791
CS(=O)(=O)Nc1cccc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)n1,8.6212278302303,JAK2-selective,5.5129743,47.315094
CS(=O)(=O)c1ccc(-c2cc(-c3cnn(C4(CC#N)CC(C#N)C4)n3)c3cccnc3c2)nc1,12.493809659692369,JAK2-selective,5.5462174,47.351818
CS(=O)(=O)c1ccc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CC(C#N)C4)n3)n2)cn1,6.026092147773564,JAK2-selective,12.808276,77.77167
CS(=O)(=O)c1ccc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)n2)cn1,5.288100208768268,JAK2-selective,-2.888452,64.54128
C[C@@H](CO)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,9.666666666666666,JAK2-selective,2.4971,29.03214
C[C@H](CO)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,5.8,JAK2-selective,2.4971,29.03214
C[C@H](Nc1nc(-c2cnn3ccccc23)nc(N2CCC(N)CC2)c1F)c1ccc(F)cn1,40.0,JAK2-selective,1.4279565,24.162054
C[C@H](Nc1nc(-c2cnn3ccccc23)nc(OCCO)c1F)c1ncc(F)cn1,8.0,JAK2-selective,1.5822496,24.219463
C[C@H](O)COc1nc(-c2cnn3ccccc23)nc(O[C@@H]2CCCN(C(=O)CO)C2)c1F,14.0,JAK2-selective,2.425842,27.89
C[C@H]1N(CC(F)(F)F)C[C@]1(CC#N)n1cc(-c2nc(-c3cnn(C)c3)cn3nccc23)cn1,8.429268292682927,JAK2-selective,-10.891887,80.86494
Cc1c(N[C@@H]2CCCN(C(=O)CO)C2)nc(-c2cnn3ccccc23)nc1N1CCOCC1,6.5,JAK2-selective,1.0438405,32.781322
Cc1cc(-c2cc(-c3cnn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)c3cccnc3c2)ccn1,10.277492291880781,JAK2-selective,-9.140075,50.74051
Cc1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CC(C#N)C4)n3)n2)nn1C,11.807949771478693,JAK2-selective,11.364591,80.21148
Cc1cc(-c2nc(-c3cc(N)n(C)n3)cc3ncccc23)nn1C1(CC#N)CC(C#N)C1,10.591163927061475,JAK2-selective,11.511788,82.24639
Cc1cc(-c2nc(-c3cnn4ccccc34)nc(N(C)[C@@H]3CCCN(C(=O)CC#N)C3)c2F)ccn1,6.0,JAK2-selective,-2.6334639,29.7373
Cc1cc(-c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CC#N)C3)c2F)cc(C)n1,10.0,JAK2-selective,-4.2907896,28.709196
Cc1cc(-c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CO)C3)c2F)ccn1,10.0,JAK2-selective,-0.6878345,30.495356
Cc1cc(-c2nc(-c3cnn4ccccc34)nc(O[C@@H]3CCCN(C(=O)CC#N)C3)c2F)ccn1,6.0,JAK2-selective,-2.8551066,29.43287
Cc1cc(-c2nc(-c3cnn4ccccc34)nc(O[C@@H]3CCCN(C(=O)CO)C3)c2F)ccn1,17.5,JAK2-selective,-1.6160742,30.051878
Cc1ccc(-c2cc(-c3cnn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)c3cccnc3c2)cn1,6.333122229259025,JAK2-selective,-9.347786,50.700016
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1CCc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2C1=O,7.733333333333333,JAK2-selective,-8.54021,2.3123276
